"GameId" "Date" "HomeTeam" "AwayTeam" "HomeGoals" "HomeShots" "AwayGoals" "AwayShots"
"74" 21723 "Game # 74. 16 September 2008, Tuesday, " "SKA Saint Petersburg" "Sibir Novosibirsk Region" "4" "32" "0" "20"
"75" 21724 "Game # 75. 16 September 2008, Tuesday, " "Vityaz Moscow Region" "CSKA Moscow" "1" "21" "4" "35"
"76" 21725 "Game # 76. 17 September 2008, Wednesday, " "Barys Astana" "Ak Bars Kazan" "2" "32" "7" "44"
"77" 21726 "Game # 77. 17 September 2008, Wednesday, " "Dinamo Minsk" "HC MVD" "2" "28" "2" "33"
"78" 21727 "Game # 78. 17 September 2008, Wednesday, " "Dynamo M" "Torpedo Nizhny Novgorod" "4" "20" "1" "26"
"79" 21728 "Game # 79. 18 September 2008, Thursday, " "Metallurg Novokuznetsk" "Salavat Yulaev Ufa" "2" "16" "1" "49"
"80" 21729 "Game # 80. 18 September 2008, Thursday, " "Metallurg Magnitogorsk" "Neftekhimik Nizhnekamsk" "4" "30" "3" "24"
"81" 21730 "Game # 81. 18 September 2008, Thursday, " "Spartak Moscow" "Vityaz Moscow Region" "5" "33" "2" "27"
"82" 21731 "Game # 82. 19 September 2008, Friday, " "Atlant Moscow Region" "Dynamo M" "6" "31" "3" "32"
"83" 21732 "Game # 83. 19 September 2008, Friday, " "Metallurg Magnitogorsk" "Ak Bars Kazan" "3" "31" "5" "29"
"84" 21733 "Game # 84. 19 September 2008, Friday, " "Avangard Omsk Region" "Lada" "5" "24" "1" "21"
"85" 21734 "Game # 85. 19 September 2008, Friday, " "CSKA Moscow" "SKA Saint Petersburg" "1" "20" "0" "27"
"86" 21735 "Game # 86. 20 September 2008, Saturday, " "Traktor Chelyabinsk" "Neftekhimik Nizhnekamsk" "3" "29" "3" "32"
"87" 21736 "Game # 87. 21 September 2008, Sunday, " "Torpedo Nizhny Novgorod" "SKA Saint Petersburg" "4" "20" "2" "31"
"88" 21737 "Game # 88. 21 September 2008, Sunday, " "HC MVD" "Severstal Cherepovets" "4" "24" "3" "18"
"89" 21738 "Game # 89. 21 September 2008, Sunday, " "Atlant Moscow Region" "Lokomotiv Yaroslavl" "4" "27" "3" "23"
"90" 21739 "Game # 90. 21 September 2008, Sunday, " "Amur Khabarovsk" "Barys Astana" "1" "23" "2" "36"
"91" 21740 "Game # 91. 21 September 2008, Sunday, " "Metallurg Novokuznetsk" "" "2" "27" "2" "40"
"92" 21741 "Game # 92. 21 September 2008, Sunday, " "Sibir Novosibirsk Region" "Avangard Omsk Region" "2" "24" "3" "31"
"93" 21742 "Game # 93. 21 September 2008, Sunday, " "Metallurg Magnitogorsk" "Lada" "1" "46" "1" "25"
"94" 21743 "Game # 94. 21 September 2008, Sunday, " "Traktor Chelyabinsk" "Ak Bars Kazan" "4" "19" "1" "26"
