"","X","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots","HomePDO","AwayPDO","HomeTSR","AwayTSR","HomeWins","AwayWins"
"63",63,21712,2008-09-14,"Dinamo Riga","Atlant Moscow Region",2,28,0,32,1071,929,0.466666666666667,0.533333333333333,"win","loss"
"64",64,21713,2008-09-14,"Vityaz Moscow Region","Neftekhimik Nizhnekamsk",2,21,1,28,1060,940,0.428571428571429,0.571428571428571,"win","loss"
"65",65,21714,2008-09-15,"Lada","Ak Bars Kazan",3,22,2,24,1053,947,0.478260869565217,0.521739130434783,"win","loss"
"66",66,21715,2008-09-15,"Avangard Omsk Region","Traktor Chelyabinsk",3,23,6,20,830,1170,0.534883720930233,0.465116279069767,"loss","win"
"67",67,21716,2008-09-15,"SKA Saint Petersburg","Metallurg Novokuznetsk",0,21,1,17,941,1059,0.552631578947368,0.447368421052632,"loss","win"
"68",68,21717,2008-09-15,"Lokomotiv Yaroslavl","Amur Khabarovsk",3,33,0,19,1091,909,0.634615384615385,0.365384615384615,"win","loss"
"69",69,21718,2008-09-15,"Dinamo Riga","Torpedo Nizhny Novgorod",4,26,1,31,1122,878,0.456140350877193,0.543859649122807,"win","loss"
"70",70,21719,2008-09-15,"Dinamo Minsk","Spartak Moscow",0,18,2,16,875,1125,0.529411764705882,0.470588235294118,"loss","win"
"71",71,21720,2008-09-15,"Dynamo M","HC MVD",3,21,2,18,1032,968,0.538461538461538,0.461538461538462,"win","loss"
"72",72,21721,2008-09-16,"Barys Astana","Neftekhimik Nizhnekamsk",3,34,2,37,1034,966,0.47887323943662,0.52112676056338,"win","loss"
"73",73,21722,2008-09-16,"Khimik","Salavat Yulaev Ufa",1,22,2,35,988,1012,0.385964912280702,0.614035087719298,"loss","win"
"74",74,21723,2008-09-16,"SKA Saint Petersburg","Sibir Novosibirsk Region",4,32,0,20,1125,875,0.615384615384615,0.384615384615385,"win","loss"
"75",75,21724,2008-09-16,"Vityaz Moscow Region","CSKA Moscow",1,21,4,35,933,1067,0.375,0.625,"loss","win"
"76",76,21725,2008-09-17,"Barys Astana","Ak Bars Kazan",2,32,7,44,903,1097,0.421052631578947,0.578947368421053,"loss","win"
"77",77,21726,2008-09-17,"Dinamo Minsk","HC MVD",2,28,2,33,1011,989,0.459016393442623,0.540983606557377,"draw","draw"
