"","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots"
"77",37854,"Game # 77. 18 September 2013, Wednesday, 19:30","Atlant Moscow Region","Donbass Donetsk",1,27,0,26
"78",37855,"Game # 78. 18 September 2013, Wednesday, 19:30","SKA Saint Petersburg","Dinamo Minsk",5,42,1,36
"79",37856,"Game # 79. 19 September 2013, Thursday, 17:00","Ugra Khanty-Mansiysk","Barys Astana",2,24,6,23
"80",37857,"Game # 80. 19 September 2013, Thursday, 17:00","Avtomobilist Yekaterinburg","Avangard Omsk Region",4,30,1,27
"81",37858,"Game # 81. 19 September 2013, Thursday, 19:30","CSKA Moscow","Ak Bars Kazan",2,32,0,23
"82",37859,"Game # 82. 19 September 2013, Thursday, 20:30","Dinamo Riga","Dynamo Moscow",2,26,2,31
"83",37860,"Game # 83. 19 September 2013, Thursday, 21:00","Slovan Bratislava","Vityaz Moscow Region",1,38,4,23
"84",37861,"Game # 84. 19 September 2013, Thursday, 21:00","Lev Prague","Torpedo Nizhny Novgorod",3,31,3,34
"85",37862,"Game # 85. 20 September 2013, Friday, 17:00","Traktor Chelyabinsk","Amur Khabarovsk",1,31,1,26
"86",37863,"Game # 86. 20 September 2013, Friday, 17:00","Metallurg Magnitogorsk","Admiral Vladivostok",4,21,1,24
"87",37864,"Game # 87. 20 September 2013, Friday, 17:00","Salavat Yulaev Ufa","Sibir Novosibirsk Region",2,26,3,30
"88",37865,"Game # 88. 20 September 2013, Friday, 19:00","Neftekhimik Nizhnekamsk","Metallurg Novokuznetsk",6,50,3,41
"89",37866,"Game # 89. 20 September 2013, Friday, 19:00","Lokomotiv Yaroslavl","Medvescak Zagreb",2,39,2,25
"90",37867,"Game # 90. 20 September 2013, Friday, 19:00","Severstal Cherepovets","Donbass Donetsk",0,27,4,37
"91",37868,"Game # 91. 20 September 2013, Friday, 19:30","Atlant Moscow Region","Dinamo Minsk",3,31,2,16
"92",37869,"Game # 92. 20 September 2013, Friday, 19:30","SKA Saint Petersburg","Spartak Moscow",4,28,1,27
"93",37870,"Game # 93. 21 September 2013, Saturday, 17:00","CSKA Moscow","Torpedo Nizhny Novgorod",1,29,2,22
"94",37871,"Game # 94. 21 September 2013, Saturday, 18:00","Dinamo Riga","Vityaz Moscow Region",6,30,1,17
"95",37872,"Game # 95. 21 September 2013, Saturday, 19:30","Slovan Bratislava","Ak Bars Kazan",2,25,1,23
"96",37873,"Game # 96. 21 September 2013, Saturday, 19:30","Lev Prague","Dynamo Moscow",2,33,1,22
"97",37874,"Game # 97. 22 September 2013, Sunday, 14:00","Avangard Omsk Region","Ugra Khanty-Mansiysk",2,26,6,21
"98",37875,"Game # 98. 22 September 2013, Sunday, 15:00","Barys Astana","Avtomobilist Yekaterinburg",7,35,2,22
"99",37876,"Game # 99. 22 September 2013, Sunday, 15:00","Traktor Chelyabinsk","Admiral Vladivostok",3,25,1,30
"100",37877,"Game # 100. 22 September 2013, Sunday, 15:00","Metallurg Magnitogorsk","Amur Khabarovsk",6,28,1,30
"101",37878,"Game # 101. 22 September 2013, Sunday, 15:00","Salavat Yulaev Ufa","Metallurg Novokuznetsk",4,25,3,34
"102",37879,"Game # 102. 22 September 2013, Sunday, 17:00","Neftekhimik Nizhnekamsk","Sibir Novosibirsk Region",4,30,3,37
"103",37880,"Game # 103. 22 September 2013, Sunday, 17:00","Lokomotiv Yaroslavl","Dinamo Minsk",4,36,1,27
"104",37881,"Game # 104. 22 September 2013, Sunday, 17:00","Severstal Cherepovets","Spartak Moscow",4,36,5,39
"105",37882,"Game # 105. 22 September 2013, Sunday, 17:00","Atlant Moscow Region","Medvescak Zagreb",3,46,2,41
"106",37883,"Game # 106. 22 September 2013, Sunday, 17:30","SKA Saint Petersburg","Donbass Donetsk",2,39,4,20
"107",37884,"Game # 107. 23 September 2013, Monday, 20:30","Dinamo Riga","Torpedo Nizhny Novgorod",2,31,3,18
"108",37885,"Game # 108. 23 September 2013, Monday, 21:00","Slovan Bratislava","Dynamo Moscow",4,14,5,30
"109",37886,"Game # 109. 23 September 2013, Monday, 21:00","Lev Prague","Ak Bars Kazan",1,34,2,23
"110",37887,"Game # 110. 24 September 2013, Tuesday, 19:00","Vityaz Moscow Region","CSKA Moscow",3,29,2,33
"111",37888,"Game # 111. 26 September 2013, Thursday, 19:30","Atlant Moscow Region","Vityaz Moscow Region",3,35,1,22
"112",37889,"Game # 112. 26 September 2013, Thursday, 19:30","Spartak Moscow","Avtomobilist Yekaterinburg",1,24,1,25
"113",37890,"Game # 113. 26 September 2013, Thursday, 20:00","Donbass Donetsk","Barys Astana",2,46,4,20
"114",37891,"Game # 114. 26 September 2013, Thursday, 21:30","Medvescak Zagreb","Ugra Khanty-Mansiysk",2,35,1,24
"115",37892,"Game # 115. 27 September 2013, Friday, 13:00","Admiral Vladivostok","CSKA Moscow",4,21,2,25
"116",37893,"Game # 116. 27 September 2013, Friday, 12:00","Amur Khabarovsk","Dinamo Riga",2,33,1,29
"117",37894,"Game # 117. 27 September 2013, Friday, 16:00","Metallurg Novokuznetsk","Lev Prague",3,17,5,40
"118",37895,"Game # 118. 27 September 2013, Friday, 16:00","Sibir Novosibirsk Region","Slovan Bratislava",3,42,1,40
"119",37896,"Game # 119.  3 October 2013, Thursday, 17:00","Metallurg Magnitogorsk","Traktor Chelyabinsk",3,31,0,23
"120",37897,"Game # 120. 27 September 2013, Friday, 17:00","Salavat Yulaev Ufa","Neftekhimik Nizhnekamsk",2,27,1,35
