"","X","X.1","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots","HomeWins","AwayWins","HomePDO","AwayPDO","HomeTSR","AwayTSR"
"73",73,73,37850,2013-09-18,"Salavat Yulaev Ufa","Admiral Vladivostok",4,27,1,33,"win","loss",1118,882,0.45,0.55
"74",74,74,37851,2013-09-18,"Neftekhimik Nizhnekamsk","Amur Khabarovsk",6,45,2,42,"win","loss",1086,914,0.517241379310345,0.482758620689655
"75",75,75,37852,2013-09-18,"Lokomotiv Yaroslavl","Spartak Moscow",1,33,1,39,"draw","draw",1005,995,0.458333333333333,0.541666666666667
"76",76,76,37853,2013-09-18,"Severstal Cherepovets","Medvescak Zagreb",6,36,2,30,"win","loss",1100,900,0.545454545454545,0.454545454545455
"77",77,77,37854,2013-09-18,"Atlant Moscow Region","Donbass Donetsk",1,27,0,26,"win","loss",1037,963,0.509433962264151,0.490566037735849
"78",78,78,37855,2013-09-18,"SKA Saint Petersburg","Dinamo Minsk",5,42,1,36,"win","loss",1091,909,0.538461538461538,0.461538461538462
"79",79,79,37856,2013-09-19,"Ugra Khanty-Mansiysk","Barys Astana",2,24,6,23,"loss","win",822,1178,0.51063829787234,0.48936170212766
"80",80,80,37857,2013-09-19,"Avtomobilist Yekaterinburg","Avangard Omsk Region",4,30,1,27,"win","loss",1096,904,0.526315789473684,0.473684210526316
"81",81,81,37858,2013-09-19,"CSKA Moscow","Ak Bars Kazan",2,32,0,23,"win","loss",1062,938,0.581818181818182,0.418181818181818
"82",82,82,37859,2013-09-19,"Dinamo Riga","Dynamo Moscow",2,26,2,31,"draw","draw",1012,988,0.456140350877193,0.543859649122807
"83",83,83,37860,2013-09-19,"Slovan Bratislava","Vityaz Moscow Region",1,38,4,23,"loss","win",852,1148,0.622950819672131,0.377049180327869
"84",84,84,37861,2013-09-19,"Lev Prague","Torpedo Nizhny Novgorod",3,31,3,34,"draw","draw",1009,991,0.476923076923077,0.523076923076923
"85",85,85,37862,2013-09-20,"Traktor Chelyabinsk","Amur Khabarovsk",1,31,1,26,"draw","draw",994,1006,0.543859649122807,0.456140350877193
"86",86,86,37863,2013-09-20,"Metallurg Magnitogorsk","Admiral Vladivostok",4,21,1,24,"win","loss",1149,851,0.466666666666667,0.533333333333333
"87",87,87,37864,2013-09-20,"Salavat Yulaev Ufa","Sibir Novosibirsk Region",2,26,3,30,"loss","win",977,1023,0.464285714285714,0.535714285714286
"88",88,88,37865,2013-09-20,"Neftekhimik Nizhnekamsk","Metallurg Novokuznetsk",6,50,3,41,"win","loss",1047,953,0.549450549450549,0.450549450549451
"89",89,89,37866,2013-09-20,"Lokomotiv Yaroslavl","Medvescak Zagreb",2,39,2,25,"draw","draw",971,1029,0.609375,0.390625
"90",90,90,37867,2013-09-20,"Severstal Cherepovets","Donbass Donetsk",0,27,4,37,"loss","win",892,1108,0.421875,0.578125
"91",91,91,37868,2013-09-20,"Atlant Moscow Region","Dinamo Minsk",3,31,2,16,"win","loss",972,1028,0.659574468085106,0.340425531914894
"92",92,92,37869,2013-09-20,"SKA Saint Petersburg","Spartak Moscow",4,28,1,27,"win","loss",1106,894,0.509090909090909,0.490909090909091
"93",93,93,37870,2013-09-21,"CSKA Moscow","Torpedo Nizhny Novgorod",1,29,2,22,"loss","win",944,1056,0.568627450980392,0.431372549019608
"94",94,94,37871,2013-09-21,"Dinamo Riga","Vityaz Moscow Region",6,30,1,17,"win","loss",1141,859,0.638297872340426,0.361702127659574
"95",95,95,37872,2013-09-21,"Slovan Bratislava","Ak Bars Kazan",2,25,1,23,"win","loss",1037,963,0.520833333333333,0.479166666666667
"96",96,96,37873,2013-09-21,"Lev Prague","Dynamo Moscow",2,33,1,22,"win","loss",1015,985,0.6,0.4
"97",97,97,37874,2013-09-22,"Avangard Omsk Region","Ugra Khanty-Mansiysk",2,26,6,21,"loss","win",791,1209,0.553191489361702,0.446808510638298
"98",98,98,37875,2013-09-22,"Barys Astana","Avtomobilist Yekaterinburg",7,35,2,22,"win","loss",1109,891,0.614035087719298,0.385964912280702
"99",99,99,37876,2013-09-22,"Traktor Chelyabinsk","Admiral Vladivostok",3,25,1,30,"win","loss",1087,913,0.454545454545455,0.545454545454545
"100",100,100,37877,2013-09-22,"Metallurg Magnitogorsk","Amur Khabarovsk",6,28,1,30,"win","loss",1181,819,0.482758620689655,0.517241379310345
"101",101,101,37878,2013-09-22,"Salavat Yulaev Ufa","Metallurg Novokuznetsk",4,25,3,34,"win","loss",1072,928,0.423728813559322,0.576271186440678
"102",102,102,37879,2013-09-22,"Neftekhimik Nizhnekamsk","Sibir Novosibirsk Region",4,30,3,37,"win","loss",1052,948,0.447761194029851,0.552238805970149
"103",103,103,37880,2013-09-22,"Lokomotiv Yaroslavl","Dinamo Minsk",4,36,1,27,"win","loss",1074,926,0.571428571428571,0.428571428571429
"104",104,104,37881,2013-09-22,"Severstal Cherepovets","Spartak Moscow",4,36,5,39,"loss","win",983,1017,0.48,0.52
"105",105,105,37882,2013-09-22,"Atlant Moscow Region","Medvescak Zagreb",3,46,2,41,"win","loss",1016,984,0.528735632183908,0.471264367816092
"106",106,106,37883,2013-09-22,"SKA Saint Petersburg","Donbass Donetsk",2,39,4,20,"loss","win",851,1149,0.661016949152542,0.338983050847458
"107",107,107,37884,2013-09-23,"Dinamo Riga","Torpedo Nizhny Novgorod",2,31,3,18,"loss","win",898,1102,0.63265306122449,0.36734693877551
"108",108,108,37885,2013-09-23,"Slovan Bratislava","Dynamo Moscow",4,14,5,30,"loss","win",1119,881,0.318181818181818,0.681818181818182
"109",109,109,37886,2013-09-23,"Lev Prague","Ak Bars Kazan",1,34,2,23,"loss","win",942,1058,0.596491228070175,0.403508771929825
"110",110,110,37887,2013-09-24,"Vityaz Moscow Region","CSKA Moscow",3,29,2,33,"win","loss",1043,957,0.467741935483871,0.532258064516129
"111",111,111,37888,2013-09-26,"Atlant Moscow Region","Vityaz Moscow Region",3,35,1,22,"win","loss",1040,960,0.614035087719298,0.385964912280702
"112",112,112,37889,2013-09-26,"Spartak Moscow","Avtomobilist Yekaterinburg",1,24,1,25,"draw","draw",1002,998,0.489795918367347,0.510204081632653
"113",113,113,37890,2013-09-26,"Donbass Donetsk","Barys Astana",2,46,4,20,"loss","win",843,1157,0.696969696969697,0.303030303030303
"114",114,114,37891,2013-09-26,"Medvescak Zagreb","Ugra Khanty-Mansiysk",2,35,1,24,"win","loss",1015,985,0.593220338983051,0.406779661016949
"115",115,115,37892,2013-09-27,"Admiral Vladivostok","CSKA Moscow",4,21,2,25,"win","loss",1110,890,0.456521739130435,0.543478260869565
"116",116,116,37893,2013-09-27,"Amur Khabarovsk","Dinamo Riga",2,33,1,29,"win","loss",1026,974,0.532258064516129,0.467741935483871
"117",117,117,37894,2013-09-27,"Metallurg Novokuznetsk","Lev Prague",3,17,5,40,"loss","win",1051,949,0.298245614035088,0.701754385964912
"118",118,118,37895,2013-09-27,"Sibir Novosibirsk Region","Slovan Bratislava",3,42,1,40,"win","loss",1046,954,0.51219512195122,0.48780487804878
"119",119,119,37896,2013-10-03,"Metallurg Magnitogorsk","Traktor Chelyabinsk",3,31,0,23,"win","loss",1097,903,0.574074074074074,0.425925925925926
"120",120,120,37897,2013-09-27,"Salavat Yulaev Ufa","Neftekhimik Nizhnekamsk",2,27,1,35,"win","loss",1046,954,0.435483870967742,0.564516129032258
"121",121,121,37898,2013-09-27,"Ak Bars Kazan","Severstal Cherepovets",1,24,0,25,"win","loss",1042,958,0.489795918367347,0.510204081632653
"122",122,122,37899,2013-09-27,"Torpedo Nizhny Novgorod","Lokomotiv Yaroslavl",5,31,0,21,"win","loss",1161,839,0.596153846153846,0.403846153846154
"123",123,123,37900,2013-09-27,"Dynamo Moscow","SKA Saint Petersburg",2,34,6,35,"loss","win",887,1113,0.492753623188406,0.507246376811594
"124",124,124,37901,2013-09-28,"Spartak Moscow","Avangard Omsk Region",2,32,2,24,"draw","draw",979,1021,0.571428571428571,0.428571428571429
"125",125,125,37902,2013-09-28,"Donbass Donetsk","Ugra Khanty-Mansiysk",2,32,0,27,"win","loss",1062,938,0.542372881355932,0.457627118644068
"126",126,126,37903,2013-09-28,"Dinamo Minsk","Avtomobilist Yekaterinburg",2,36,0,23,"win","loss",1056,944,0.610169491525424,0.389830508474576
"127",127,127,37904,2013-09-28,"Medvescak Zagreb","Barys Astana",3,35,2,35,"win","loss",1029,971,0.5,0.5
"128",128,128,37905,2013-09-29,"Admiral Vladivostok","Dinamo Riga",3,20,0,24,"win","loss",1150,850,0.454545454545455,0.545454545454545
"129",129,129,37906,2013-09-29,"Amur Khabarovsk","CSKA Moscow",1,31,3,32,"loss","win",939,1061,0.492063492063492,0.507936507936508
"130",130,130,37907,2013-09-29,"Metallurg Novokuznetsk","Slovan Bratislava",1,26,3,33,"loss","win",948,1052,0.440677966101695,0.559322033898305
"131",131,131,37908,2013-09-29,"Sibir Novosibirsk Region","Lev Prague",5,25,3,42,"win","loss",1129,871,0.373134328358209,0.626865671641791
"132",132,132,37909,2013-09-29,"Metallurg Magnitogorsk","Neftekhimik Nizhnekamsk",4,36,3,32,"win","loss",1017,983,0.529411764705882,0.470588235294118
"133",133,133,37910,2013-09-29,"Salavat Yulaev Ufa","Traktor Chelyabinsk",3,49,1,21,"win","loss",1014,986,0.7,0.3
"134",134,134,37911,2013-09-29,"Ak Bars Kazan","Lokomotiv Yaroslavl",2,25,0,25,"win","loss",1080,920,0.5,0.5
"135",135,135,37912,2013-09-29,"Torpedo Nizhny Novgorod","Severstal Cherepovets",0,22,2,23,"loss","win",913,1087,0.488888888888889,0.511111111111111
"136",136,136,37913,2013-09-29,"Vityaz Moscow Region","SKA Saint Petersburg",2,31,2,34,"draw","draw",1006,994,0.476923076923077,0.523076923076923
